Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
q21.sql	5284	2369	260	8	497	259	304513	0	564520	0	58175786	13459	58	21	3935	1130	0.006086890770417055	0.3077463722959549	1.9991649794242694
q20.sql	4229	1	3	0	0	3	1478	0	2852	0	172016	498	8	3	258	6	0.1400624017613287	0.47529996595165136	1.9083953214405927
q19.sql	347	182	153	1	146	153	201066	0	616346	0	444491	141971	18	2	112	1233	0.003023348132136265	0.3685804836229886	1.004184217523335
q18.sql	1169	0	8	2	0	8	1346	0	2626	0	8680	740	8	5	63	5	2.340253110332709E-5	8.0183467726254E-5	1.0000728246613393
q17.sql	1922	43	9	1	15	9	2255	0	9994	0	184920	509	15	5	531	20	0.08856409591906991	0.3748831632829947	1.0037014915979514
q16.sql	860	86	358	397	84	116	149252	0	328129	0	118920	237446	17	2	118608	656	0.18544270627763348	0.48766046919761963	1.00093625
q14.sql	1444	1371	59	12	1365	46	156436	0	234970	0	325	604	14	2	77819	470	0.1719345596701594	0.5040250682604338	1.00319
q12.sql	521	383	121	13	380	109	62872	0	94683	0	14	749	14	2	30947	189	0.17643044367800723	0.4613416010503325	1.0004993333333334
q11.sql	154	1	66	21	0	32	68482	0	103374	0	2856796	0	27	7	33040	207	0.17519117675809437	0.6295446698367396	2.00070375
q10.sql	1558	1192	181	181	1005	129	308899	0	547634	0	89320029	39274	40	8	112798	1095	0.11198744424110862	0.41237327492896764	1.0448355157654154
q09.sql	1437	0	1122	62	0	972	0	0	0	0	0	0	0	0	330610	0	0.04690951739742106	0.2260796825975614	1.000258813289892
q08.sql	274	0	60	4	0	59	0	0	0	0	0	0	0	0	2318	0	0.01406091500603916	0.2767940608226412	1.2806437913868178
q07.sql	2098	0	1614	8	0	1612	0	0	0	0	0	0	0	0	5900	0	6.908653910113539E-4	0.3267576842339957	2.2803560337626587
q06.sql	2035	2027	1614	6	2027	1612	0	0	0	0	0	0	0	0	5900	0	6.908653910113539E-4	0.3267576842339957	2.2803560337626587
q05.sql	1099	444	650	2	425	648	1447210	0	3761310	0	72578146	33749	53	25	7251	7523	0.0015753609184749624	0.34069162602858927	1.1203764845118864
q04.sql	2500	806	70	21	131	64	110096	0	167549	0	145406	17773	11	1	52556	335	0.16517245732250588	0.4785569339892495	1.0
q03.sql	1387	1232	123	29	654	117	208926	0	398800	0	1461240	149922	20	4	30488	797	0.04216054173163914	0.28514650106452555	1.001075719566098
q02.sql	462	96	46	1	21	45	7072	0	14325	0	165703	1160	25	13	476	29	0.06516921601196031	0.3809219612270217	1.125746039137776
q01.sql	4568	2141	46	2421	2141	45	0	0	0	0	0	0	0	0	476	0	0.06516921601196031	0.3809219612270217	1.125746039137776
