Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
q21.sql	5650	3755	624	6	655	624	310235	0	588244	0	58225144	163995	59	23	3935	1177	0.005847754150352871	0.30626518553802984	1.0005186791773761
q20.sql	4074	2	4	0	1	4	1482	0	2859	0	173403	1099	8	3	258	6	0.138943389682715	0.472375	1.9039953214405925
q19.sql	650	187	438	0	130	438	200958	0	616191	0	445350	142744	18	2	112	1232	0.002897266546924946	0.29454545454545455	1.0034192100831711
q18.sql	843	0	7	4	0	7	591	0	1126	0	3148	433	5	3	63	2	1.1156396326425379E-5	2.2312792652850758E-5	1.0000333333333333
q17.sql	2609	34	21	0	5	20	2075	0	10042	0	185123	1356	16	6	531	20	0.08751717698722077	0.35644869055812684	1.0013281498288262
q16.sql	1063	79	570	387	72	542	149116	0	328449	0	118976	239223	17	2	118608	657	0.18532438682404906	0.517832154712702	1.00081625
q14.sql	2929	2610	291	24	2602	275	156580	0	235290	0	78309	78668	14	2	77819	471	0.17182888453181933	0.5507107146484183	1.004215
q12.sql	553	285	247	15	280	226	63114	0	95168	0	31075	32054	14	2	30947	190	0.17555282375655448	0.4652769839596944	1.0006633333333332
q11.sql	205	2	84	20	1	67	37273	0	40988	0	2898831	1458	20	6	33040	81	0.43257476729066047	0.7529281500573095	1.99187625
q10.sql	1912	1357	446	105	1121	304	321766	0	579261	0	899532183	164524	35	6	112798	1158	0.09861114173484214	0.13829630882529503	1.007923700116513
q09.sql	2931	0	2542	75	0	2338	0	0	0	0	0	0	0	0	330610	0	0.04688590527464481	0.1969729977176221	1.0002996424728159
q08.sql	496	0	175	3	0	173	0	0	0	0	0	0	0	0	2318	0	0.015281413933083248	0.31678635009138983	1.280856004521856
q07.sql	6839	1	6248	10	1	6246	0	0	0	0	0	0	0	0	5900	0	3.5560189154200975E-4	0.17920066544902677	1.605715191683302
q06.sql	2526	2519	6248	5	2519	6246	0	0	0	0	0	0	0	0	5900	0	3.5560189154200975E-4	0.17920066544902677	1.605715191683302
q05.sql	3940	914	3020	3	855	3017	2069560	0	5008236	0	9160399837	1866946	70	32	7251	10017	0.0012102931083529161	0.37800132471124587	1.1205181413930343
q04.sql	3095	1037	96	16	254	90	110096	0	167549	0	145406	17773	11	1	52556	335	0.16517245732250588	0.4785569339892495	1.0
q03.sql	2243	1884	319	24	790	299	209102	0	399149	0	1461201	151272	20	4	30488	798	0.042216286798189055	0.3150389487499709	1.0013219396208506
q02.sql	648	81	25	1	13	24	6221	0	12645	0	134484	5885	25	9	476	26	0.07793623286872084	0.46023134961159107	1.1246605742874305
q01.sql	2931	626	25	2300	626	24	0	0	0	0	0	0	0	0	476	0	0.07793623286872084	0.46023134961159107	1.1246605742874305
